"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_78","  7","ITS_3","Entomortierella beljakovae"," 979673",37752271,"32382524"," 77231872","OK","reference_mean","979673","979673","2779859","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_79","  7","ITS_3","Hypomyces samuelsii"," 767784",37231040.954003,"34248664"," 98242792","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","767784","767784","5130","5129","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_80","  6","ITS_3","Fusarium proliferatum"," 948311",45269225.7241379,"25524968"," 84227140","OK","reference_mean","948311","948311","5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","171627",NA
"query_81","  6","ITS_3","Allophylaria subliciformis","2478803",28684680.4728591,"22256791"," 38247384","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2478803","2478803","2478802","2488219","5178","147548","4890","33154","2759","1",NA,NA,"147538","451864","4751",NA,NA
"query_82","  5","ITS_3","Alternaria sp.","1715220",35451498.250041,"24714462"," 49867889","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1715220","1715220","5598","28556","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_83","  5","ITS_3","Saccotheciaceae","1570301",26721006.430222,"12076995"," 38425929","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1570301",NA,NA,"1570301","5014","147541","4890","33154","2759","1","451867",NA,"147538","451864","4751",NA,NA
"query_84","  5","ITS_3","Neoascochyta exitialis"," 487631",35557722.0119225,"26612045"," 52145828","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","487631","487631","1770170","683158","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_85","  4","ITS_3","Agaricaceae sp. 325","1198532",30606874.5294989,"15494268"," 53230211","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1198532","1198532",NA,"5339","5338","155619","5204","33154","2759","1","452333","2982305","5302","451864","4751",NA,NA
"query_86","  4","ITS_3","Volutella ciliata"," 145967",50718897.91056,"26508734"," 77151470","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","145967","145967","145966","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_87","  4","ITS_3","Fusarium","   5506",45056350.5449236,"25524968"," 84227140","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","5506",NA,"5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_88","  4","ITS_3","Phoma herbarum","  73001",38509758,"26790327"," 70000718","OK","reference_mean","73001","73001","37463","683158","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_89","  4","ITS_3","Fusarium tricinctum","  61284",42608373.8,"25524968"," 84227140","OK","reference_mean","61284","61284","5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","679429",NA
