"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","estimated_genome_size_confidence_interval","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subphylum","suborder","subclass","subkingdom","kingdom","species group","section","confidence_interval_lower","confidence_interval_upper"
"query...46"," 28","16S_1","Acidisphaera","  50714",4990995.32043863,"2169932;11727022","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","50714",NA,"50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2169932.0"," 11727022"
"query...47"," 28","16S_1","Terracidiphilus gabretensis","1577687",5345618,NA,"OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1753194.7"," 10894728"
"query...48"," 27","16S_1","Thermomonosporaceae bacterium YE4-D4-16-CH2"," 795107",6268877.36246068,"3551995.2;11380371","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","795107","795107",NA,"2012","85012","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 3551995.2"," 11380371"
"query...49"," 26","16S_1","bacterium Ellin335"," 204678",6268877.36246068,"3967824.1;11452371","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","204678","204678",NA,"1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3967824.1"," 11452371"
"query...50"," 25","16S_1","Rhizomicrobium sp. URHD0049","1703066",3323666.00131047,"1264122.1;9329087","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1703066","1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1264122.1","  9329087"
"query...51"," 18","16S_1","Blastochloris","  59282",3406532.5461267,"1562213.9;8910133","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","59282",NA,"59282","2831090","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1562213.9","  8910133"
"query...52"," 17","16S_1","Steroidobacter sp.","1978227",8537399,NA,"OK","reference_mean","1978227","1978227","469322","2689614","1775403","1236","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2587025.4"," 15092621"
"query...53"," 16","16S_1","unclassified Bradyrhizobium","2631580",8047625.26521531,"3661376.6;19852261","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2631580",NA,"374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3661376.6"," 19852261"
"query...54"," 14","16S_1","Aciditerrimonas sp.","1872117",2660281.9537508,"1211713.1;6689251","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1872117","1872117","1042325","84994","84993","84992","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 1211713.1","  6689251"
"query...55"," 13","16S_1","Flavitalea sp.","1909289",4743522.98453193,"1794008.9;13859048","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1909289","1909289","1210116","563835","1853229","1853228","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA," 1794008.9"," 13859048"
