"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_79","  7","ITS_3","Hypomyces samuelsii"," 767784",39147046.0268855,22244594.040245,65915312.5133533,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","767784","767784","5130","5129","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_80","  6","ITS_3","Fusarium proliferatum"," 948311",45244066.9904541,36782153.5148428,55794311.3785969,"OK","bayesian Eukaryota","948311","948311","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171627",NA
"query_81","  6","ITS_3","Allophylaria subliciformis","2478803",44746234.668895,22020007.0771089,83923765.9169418,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2478803","2478803","2478802","2488219","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_82","  5","ITS_3","Alternaria sp.","1715220",35460766.4799626,28626261.9664654,43707156.0864543,"OK","bayesian Eukaryota","1715220","1715220","5598","28556","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_83","  5","ITS_3","Saccotheciaceae","1570301",28769722.2397862,15768742.140307,47487800.2190749,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1570301",NA,NA,"1570301","5014","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_84","  5","ITS_3","Neoascochyta exitialis"," 487631",36946495.7319057,22715886.701822,57465583.89933,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","487631","487631","1770170","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_85","  4","ITS_3","Agaricaceae sp. 325","1198532",38293601.7496747,21485456.7297351,63913945.3602323,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1198532","1198532",NA,"5339","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_86","  4","ITS_3","Volutella ciliata"," 145967",48882366.5704743,29113969.775853,75638701.5715102,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","145967","145967","145966","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_87","  4","ITS_3","Fusarium","   5506",45339099.1188082,36814156.3804773,56460943.2240631,"OK","bayesian Eukaryota","5506",NA,"5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_88","  4","ITS_3","Phoma herbarum","  73001",36966248.5727751,22499686.4272882,58535300.9085235,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","73001","73001","37463","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
